companyName,website,title,industry,level,location,employmentType,description,requirements,skills,salary,benefits,deadline,originalUrl,source,ssNotes
Công ty TNHH Tiki,https://tiki.vn,Thực tập sinh Frontend Developer (ReactJS),Code,Intern,TP.HCM,Internship,Tham gia phát triển giao diện người dùng cho ứng dụng thương mại điện tử tiki.vn. Làm việc cùng team Engineering xây dựng các component React hiệu suất cao.,"Sinh viên năm 3-4 ngành CNTT. Có kiến thức ReactJS, HTML, CSS, JavaScript cơ bản. Biết Git.","ReactJS, JavaScript, HTML5, CSS3, Git",3.000.000 - 5.000.000 VNĐ/tháng,"Phụ cấp ăn trưa, xe bus nội bộ, mentoring từ senior dev",2026-09-30,https://tiki.vn/careers/frontend-intern-2026,Manual,
VNG Corporation,https://vng.com.vn,Fresher Data Analyst – Zalo Analytics Team,Data Analysis,Fresher,TP.HCM,Fulltime,"Phân tích dữ liệu hành vi người dùng Zalo, xây dựng dashboard báo cáo cho Product Team. Làm việc với tập dữ liệu lớn hàng triệu user.",Tốt nghiệp CNTT / Toán / Thống kê. Thành thạo SQL. Biết Python cơ bản (Pandas). Ưu tiên biết PowerBI.,"SQL, Python, Pandas, PowerBI, Excel",12.000.000 - 15.000.000 VNĐ/tháng,"Bảo hiểm sức khỏe cao cấp, thưởng KPI, team building",2026-09-15,https://vng.com.vn/careers/data-analyst-zalo,Manual,"Job xịn, phù hợp học viên Data MindX"
MoMo (M_Service),https://momo.vn,Junior Business Analyst – Digital Payment,Business Analysis,Junior,TP.HCM,Fulltime,"Phân tích quy trình nghiệp vụ thanh toán điện tử, viết BRD/FRS cho tính năng mới. Làm cầu nối giữa bộ phận kinh doanh và team kỹ thuật.","1+ năm kinh nghiệm BA hoặc QA. Biết vẽ BPMN, viết user story. Tiếng Anh tốt.","BPMN, User Stories, SQL, Jira, Confluence, Agile, Scrum",15.000.000 - 20.000.000 VNĐ/tháng,"Môi trường startup năng động, thưởng theo dự án, cơ hội thăng tiến nhanh",2026-10-01,https://momo.vn/careers/junior-ba-2026,Manual,
FPT Software,https://fptsoftware.com,Thực tập sinh Backend Developer (Node.js),Code,Intern,Hà Nội,Internship,"Tham gia phát triển backend cho các hệ thống enterprise. Làm việc với Node.js, REST API, SQL Server.","Sinh viên CNTT năm 3-4. Biết JavaScript/Node.js. Hiểu cơ bản về REST API, Database.","Node.js, Express, JavaScript, SQL, REST API, Git",3.000.000 - 4.000.000 VNĐ/tháng,"Chứng chỉ thực tập, cơ hội nhận việc chính thức sau tốt nghiệp",2026-09-20,https://fptsoftware.com/careers/nodejs-intern,TopCV,
Shopee Vietnam,https://shopee.vn,Data Engineer Intern – Big Data Platform,Data Analysis,Intern,TP.HCM,Internship,"Hỗ trợ xây dựng data pipeline, ETL processes trên nền tảng dữ liệu lớn của Shopee. Làm việc với Spark, Airflow, Hive.",Sinh viên CNTT/Khoa học dữ liệu. Biết Python. Có kiến thức cơ bản về SQL và Linux. Ưu tiên đã học Big Data.,"Python, SQL, Spark, Airflow, Linux, ETL",5.000.000 - 7.000.000 VNĐ/tháng,"Allowance cao, mentoring từ data engineer giàu kinh nghiệm",2026-08-31,https://careers.shopee.vn/data-engineer-intern,LinkedIn,"Deadline gần, ưu tiên push học viên Data phù hợp"
Grab Vietnam,https://grab.com/vn,Fresher Mobile Developer (React Native),Code,Fresher,Hà Nội,Fulltime,Phát triển ứng dụng mobile cho tài xế và khách hàng sử dụng React Native. Tối ưu performance và UX cho thiết bị tầm trung.,"Tốt nghiệp CNTT. Có kiến thức React Native hoặc Flutter. Biết Git, RESTful API.","React Native, JavaScript, TypeScript, REST API, Git",18.000.000 - 22.000.000 VNĐ/tháng,"Bảo hiểm sức khỏe, free Grab cho nhân viên, học tiếng Anh miễn phí",2026-10-15,https://grab.com/vn/careers/react-native-fresher,LinkedIn,
Viettel Digital,https://digital.viettel.vn,Intern Business Analyst – Fintech,Business Analysis,Intern,Hà Nội,Internship,"Hỗ trợ phân tích nghiệp vụ cho các sản phẩm Fintech của Viettel. Tham gia viết tài liệu yêu cầu, use case và tham dự các buổi họp với stakeholder.","Sinh viên kinh tế, CNTT hoặc liên quan. Có tư duy logic tốt, kỹ năng giao tiếp tốt. Biết Excel.","Excel, User Stories, BPMN, Agile, Jira",3.000.000 - 4.500.000 VNĐ/tháng,"Môi trường tập đoàn lớn, cơ hội học hỏi thực tế",2026-09-10,https://digital.viettel.vn/careers/intern-ba,Manual,
NashTech Vietnam,https://nashtechglobal.com,Junior Fullstack Developer (.NET + ReactJS),Code,Junior,Hà Nội,Fulltime,Tham gia phát triển các hệ thống web cho khách hàng quốc tế sử dụng .NET Core backend và ReactJS frontend.,"0-2 năm kinh nghiệm. Biết C# .NET Core, ReactJS. Tiếng Anh đọc hiểu tài liệu kỹ thuật.","C#, .NET Core, ReactJS, SQL Server, REST API, Git",15.000.000 - 20.000.000 VNĐ/tháng,"Làm việc với khách hàng nước ngoài, lương cạnh tranh, du lịch thường niên",2026-10-30,https://nashtechglobal.com/vn/careers/junior-fullstack,ITviec,
KPMG Vietnam,https://kpmg.com/vn,Data Analyst Intern – Advisory Division,Data Analysis,Intern,Hà Nội,Internship,Hỗ trợ nhóm tư vấn phân tích dữ liệu kinh doanh cho khách hàng doanh nghiệp lớn. Xây dựng dashboard PowerBI và báo cáo Excel nâng cao.,"Sinh viên kinh tế, tài chính, CNTT năm 3-4. Thành thạo Excel. Biết SQL hoặc PowerBI là lợi thế lớn.","Excel, PowerBI, SQL, Tableau, Statistics",4.000.000 - 6.000.000 VNĐ/tháng,"Cơ hội được nhận vào làm chính thức tại Big 4, môi trường chuyên nghiệp quốc tế",2026-09-05,https://kpmg.com/vn/careers/data-analyst-intern,Manual,"Big 4 - rất uy tín, nên đẩy cho học viên Data"
Axon Active Vietnam,https://axonactive.com,Intern Software Developer – Agile Team (Remote),Code,Intern,Remote,Internship,"Làm việc từ xa trong môi trường Agile/Scrum thực sự cùng team phát triển phần mềm quốc tế. Tham gia sprint planning, daily standup, code review.",Biết ít nhất 1 ngôn ngữ lập trình (Java/Python/JS). Có khả năng tự học cao. Thích môi trường remote.,"Java, Python, JavaScript, Git, Agile, Scrum, REST API",4.000.000 - 6.000.000 VNĐ/tháng,"Remote hoàn toàn, flexible hours, được làm dự án thực tế cho khách hàng Thuỵ Sĩ",2026-11-30,https://axonactive.com/careers/intern-software-dev-remote,Manual,Remote - phù hợp học viên tỉnh xa
